date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-08-17,75.02,75.04,73.11,74.49,7240600,75.02,75.04,73.11,74.49,7240600,0.0,1.0,1
2007-08-20,74.7,75.28,73.8001,74.98,5916100,74.7,75.28,73.8001,74.98,5916100,0.0,1.0,1
2007-08-21,77.49,77.83,74.09,74.21,8429100,77.49,77.83,74.09,74.21,8429100,0.0,1.0,1
2007-08-22,78.5,79.49,77.84,78.24,6848100,78.5,79.49,77.84,78.24,6848100,0.0,1.0,1
2007-08-23,77.3,79.0,76.51,78.94,5665000,77.3,79.0,76.51,78.94,5665000,0.0,1.0,1
2007-08-24,79.25,79.4,76.69,76.8,5665700,79.25,79.4,76.69,76.8,5665700,0.0,1.0,1
2007-08-27,78.65,80.8,78.42,80.56,6951300,78.65,80.8,78.42,80.56,6951300,0.0,1.0,1
2007-08-28,76.22,78.65,76.08,77.86,5767000,76.22,78.65,76.08,77.86,5767000,0.0,1.0,1
2007-08-29,79.05,79.05,76.86,76.96,5076800,79.05,79.05,76.86,76.96,5076800,0.0,1.0,1
2007-08-30,78.68,80.11,78.3,78.4,4628800,78.68,80.11,78.3,78.4,4628800,0.0,1.0,1
2007-08-31,79.91,80.53,79.7,80.0,6157400,79.91,80.53,79.7,80.0,6157400,0.0,1.0,1
2007-09-04,82.7,83.53,79.73,79.9,8266000,82.7,83.53,79.73,79.9,8266000,0.0,1.0,1
2007-09-05,83.75,84.89,82.22,82.24,9062200,83.75,84.89,82.22,82.24,9062200,0.0,1.0,1
2007-09-06,86.21,86.46,82.85,84.5,8826900,86.21,86.46,82.85,84.5,8826900,0.0,1.0,1
2007-09-07,84.52,84.97,83.21,84.7,8231200,84.52,84.97,83.21,84.7,8231200,0.0,1.0,1
2007-09-10,83.34,85.16,82.51,84.93,5366900,83.34,85.16,82.51,84.93,5366900,0.0,1.0,1
2007-09-11,86.28,86.61,83.53,84.17,6859800,86.28,86.61,83.53,84.17,6859800,0.0,1.0,1
2007-09-12,87.3,88.89,85.97,86.07,9030300,87.3,88.89,85.97,86.07,9030300,0.0,1.0,1
